job_id,width,group_id,member_seed_list,data_seed,target_images_seen,p_targets_images_seen,base_dir,save_dir,wandb_group,experiment_name
14,32,2,"[409102263, 601719872, 940722756, 264572641]",2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w32/g2,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_32/group_2,exchangeability,exchangeability_w32_g2
15,32,3,"[311774673, 431018056, 848076944, 846358595]",2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w32/g3,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_32/group_3,exchangeability,exchangeability_w32_g3
16,512,0,[913716719],2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w512/g0,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_512/group_0,exchangeability,exchangeability_w512_g0
17,512,1,[814120664],2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w512/g1,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_512/group_1,exchangeability,exchangeability_w512_g1
18,512,10,[457531265],2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w512/g10,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_512/group_10,exchangeability,exchangeability_w512_g10
19,512,11,[585368494],2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w512/g11,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_512/group_11,exchangeability,exchangeability_w512_g11
20,512,12,[227779809],2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w512/g12,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_512/group_12,exchangeability,exchangeability_w512_g12
21,512,13,[139709596],2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w512/g13,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_512/group_13,exchangeability,exchangeability_w512_g13
22,512,14,[50229091],2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w512/g14,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_512/group_14,exchangeability,exchangeability_w512_g14
23,512,15,[881496312],2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w512/g15,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_512/group_15,exchangeability,exchangeability_w512_g15
24,512,2,[189605590],2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w512/g2,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_512/group_2,exchangeability,exchangeability_w512_g2
25,512,3,[688048163],2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w512/g3,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_512/group_3,exchangeability,exchangeability_w512_g3
26,512,4,[536253141],2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w512/g4,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_512/group_4,exchangeability,exchangeability_w512_g4
27,512,5,[149507838],2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w512/g5,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_512/group_5,exchangeability,exchangeability_w512_g5
28,512,6,[870196466],2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w512/g6,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_512/group_6,exchangeability,exchangeability_w512_g6
29,512,7,[347924645],2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w512/g7,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_512/group_7,exchangeability,exchangeability_w512_g7
30,512,8,[301188756],2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w512/g8,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_512/group_8,exchangeability,exchangeability_w512_g8
31,512,9,[641433411],2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w512/g9,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_512/group_9,exchangeability,exchangeability_w512_g9
32,64,0,"[568167482, 698705502, 725009031, 767380954]",2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w64/g0,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_64/group_0,exchangeability,exchangeability_w64_g0
33,64,1,"[755573975, 139905018, 525090040, 973819678]",2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w64/g1,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_64/group_1,exchangeability,exchangeability_w64_g1
34,64,2,"[361779597, 123958905, 405196441, 32381198]",2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w64/g2,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_64/group_2,exchangeability,exchangeability_w64_g2
35,64,3,"[958970787, 560370098, 490444647, 754576178]",2423,10000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5179474, 7196856, 10000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/w64/g3,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_outputs/exchangeability/width_64/group_3,exchangeability,exchangeability_w64_g3
