job_id,dataset,run_id,width,group_id,member_seed_list,data_seed,target_images_seen,p_targets_images_seen,base_dir,save_dir,wandb_group,experiment_name
10,cifar5m,exchangeability_cifar5m_sgd,256,6,"[334922154, 776130981]",2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_sgd/w256/g6,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_sgd/width_256/group_6,exchangeability_cifar5m_sgd,cifar5m_exchangeability_sgd_w256_g6
11,cifar5m,exchangeability_cifar5m_sgd,256,7,"[733253555, 424550845]",2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_sgd/w256/g7,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_sgd/width_256/group_7,exchangeability_cifar5m_sgd,cifar5m_exchangeability_sgd_w256_g7
12,cifar5m,exchangeability_cifar5m_sgd,32,0,"[236035548, 466941550, 740156638, 786778459]",2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_sgd/w32/g0,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_sgd/width_32/group_0,exchangeability_cifar5m_sgd,cifar5m_exchangeability_sgd_w32_g0
13,cifar5m,exchangeability_cifar5m_sgd,32,1,"[237340859, 96501274, 573866386, 717293369]",2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_sgd/w32/g1,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_sgd/width_32/group_1,exchangeability_cifar5m_sgd,cifar5m_exchangeability_sgd_w32_g1
14,cifar5m,exchangeability_cifar5m_sgd,32,2,"[51636331, 727063811, 158154587, 345996570]",2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_sgd/w32/g2,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_sgd/width_32/group_2,exchangeability_cifar5m_sgd,cifar5m_exchangeability_sgd_w32_g2
15,cifar5m,exchangeability_cifar5m_sgd,32,3,"[789644724, 177509568, 796940200, 39676935]",2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_sgd/w32/g3,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_sgd/width_32/group_3,exchangeability_cifar5m_sgd,cifar5m_exchangeability_sgd_w32_g3
16,cifar5m,exchangeability_cifar5m_sgd,512,0,[903628768],2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_sgd/w512/g0,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_sgd/width_512/group_0,exchangeability_cifar5m_sgd,cifar5m_exchangeability_sgd_w512_g0
17,cifar5m,exchangeability_cifar5m_sgd,512,1,[210095922],2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_sgd/w512/g1,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_sgd/width_512/group_1,exchangeability_cifar5m_sgd,cifar5m_exchangeability_sgd_w512_g1
18,cifar5m,exchangeability_cifar5m_sgd,512,10,[900145089],2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_sgd/w512/g10,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_sgd/width_512/group_10,exchangeability_cifar5m_sgd,cifar5m_exchangeability_sgd_w512_g10
19,cifar5m,exchangeability_cifar5m_sgd,512,11,[46162899],2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_sgd/w512/g11,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_sgd/width_512/group_11,exchangeability_cifar5m_sgd,cifar5m_exchangeability_sgd_w512_g11
20,cifar5m,exchangeability_cifar5m_sgd,512,12,[382775710],2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_sgd/w512/g12,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_sgd/width_512/group_12,exchangeability_cifar5m_sgd,cifar5m_exchangeability_sgd_w512_g12
21,cifar5m,exchangeability_cifar5m_sgd,512,13,[60135110],2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_sgd/w512/g13,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_sgd/width_512/group_13,exchangeability_cifar5m_sgd,cifar5m_exchangeability_sgd_w512_g13
22,cifar5m,exchangeability_cifar5m_sgd,512,14,[692709220],2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_sgd/w512/g14,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_sgd/width_512/group_14,exchangeability_cifar5m_sgd,cifar5m_exchangeability_sgd_w512_g14
23,cifar5m,exchangeability_cifar5m_sgd,512,15,[879515726],2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_sgd/w512/g15,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_sgd/width_512/group_15,exchangeability_cifar5m_sgd,cifar5m_exchangeability_sgd_w512_g15
24,cifar5m,exchangeability_cifar5m_sgd,512,2,[134679146],2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_sgd/w512/g2,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_sgd/width_512/group_2,exchangeability_cifar5m_sgd,cifar5m_exchangeability_sgd_w512_g2
25,cifar5m,exchangeability_cifar5m_sgd,512,3,[103576024],2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_sgd/w512/g3,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_sgd/width_512/group_3,exchangeability_cifar5m_sgd,cifar5m_exchangeability_sgd_w512_g3
26,cifar5m,exchangeability_cifar5m_sgd,512,4,[833934808],2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_sgd/w512/g4,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_sgd/width_512/group_4,exchangeability_cifar5m_sgd,cifar5m_exchangeability_sgd_w512_g4
27,cifar5m,exchangeability_cifar5m_sgd,512,5,[404490405],2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_sgd/w512/g5,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_sgd/width_512/group_5,exchangeability_cifar5m_sgd,cifar5m_exchangeability_sgd_w512_g5
28,cifar5m,exchangeability_cifar5m_sgd,512,6,[399991737],2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_sgd/w512/g6,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_sgd/width_512/group_6,exchangeability_cifar5m_sgd,cifar5m_exchangeability_sgd_w512_g6
29,cifar5m,exchangeability_cifar5m_sgd,512,7,[696462485],2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_sgd/w512/g7,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_sgd/width_512/group_7,exchangeability_cifar5m_sgd,cifar5m_exchangeability_sgd_w512_g7
30,cifar5m,exchangeability_cifar5m_sgd,512,8,[297243717],2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_sgd/w512/g8,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_sgd/width_512/group_8,exchangeability_cifar5m_sgd,cifar5m_exchangeability_sgd_w512_g8
31,cifar5m,exchangeability_cifar5m_sgd,512,9,[452663177],2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_sgd/w512/g9,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_sgd/width_512/group_9,exchangeability_cifar5m_sgd,cifar5m_exchangeability_sgd_w512_g9
32,cifar5m,exchangeability_cifar5m_sgd,64,0,"[460662292, 884240699, 916308414, 58383850]",2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_sgd/w64/g0,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_sgd/width_64/group_0,exchangeability_cifar5m_sgd,cifar5m_exchangeability_sgd_w64_g0
33,cifar5m,exchangeability_cifar5m_sgd,64,1,"[396582460, 610354511, 600207613, 379168343]",2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_sgd/w64/g1,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_sgd/width_64/group_1,exchangeability_cifar5m_sgd,cifar5m_exchangeability_sgd_w64_g1
34,cifar5m,exchangeability_cifar5m_sgd,64,2,"[752745082, 44154273, 553558507, 979879994]",2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_sgd/w64/g2,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_sgd/width_64/group_2,exchangeability_cifar5m_sgd,cifar5m_exchangeability_sgd_w64_g2
35,cifar5m,exchangeability_cifar5m_sgd,64,3,"[203872530, 733858119, 473849421, 444677883]",2423,5000000,"[10000, 21544, 46415, 100000, 138949, 193069, 268269, 372759, 517947, 719686, 1000000, 1389495, 1930698, 2682695, 3727593, 5000000]",/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_runs/cifar5m_sgd/w64/g3,/n/netscratch/kempner_pehlevan_lab/Lab/ilavie/exchangeability_cifar5m/exchangeability_cifar5m_sgd/width_64/group_3,exchangeability_cifar5m_sgd,cifar5m_exchangeability_sgd_w64_g3
